jobTitle,category
architekt,"Architektur, Bau & Immobilien"
immobilienkaufmann sachverständiger,"Architektur, Bau & Immobilien"
trockenbau,"Architektur, Bau & Immobilien"
bankbetriebswirtin geschäftskundenberaterin,Beratung & Coaching
berater,Beratung & Coaching
berater für digitale wertsteigerung,Beratung & Coaching
berater für unternehmensbewertung und unternehmensnachfolge,Beratung & Coaching
beraterin coach trainerin,Beratung & Coaching
energie und umwelt beratung - planung- realisierung,Beratung & Coaching
energieberater,Beratung & Coaching
existenzgründungsberaterin,Beratung & Coaching
finanzberater,Beratung & Coaching
finanzcoach,Beratung & Coaching
firmenkundenbetreuung - startup coach,Beratung & Coaching
geschäftskundenberater,Beratung & Coaching
independent consultant,Beratung & Coaching
internationale ausbildungsplatzvermittlung,Beratung & Coaching
life & health coach,Beratung & Coaching
marketingberater,Beratung & Coaching
organisationsentwickler syst. business coach controller,Beratung & Coaching
premium-reiseberaterin,Beratung & Coaching
senior consultant dms ecm,Beratung & Coaching
senior vertrieb consultant,Beratung & Coaching
steuerberater,Beratung & Coaching
steuerberater,Beratung & Coaching
steuerberater,Beratung & Coaching
steuerberater,Beratung & Coaching
steuerberaterin,Beratung & Coaching
system- und projektberater,Beratung & Coaching
teambuilder dozent coach,Beratung & Coaching
unternehmensberater,Beratung & Coaching
unternehmensberater gründung- und nachfolge,Beratung & Coaching
unternehmensberaterin für nachfolge und restrukturierung,Beratung & Coaching
futurologe,Bildung & Forschung
professor,Bildung & Forschung
professor,Bildung & Forschung
professorin,Bildung & Forschung
researcher,Bildung & Forschung
studentische hilfstkraft,Bildung & Forschung
wissenschaftliche mitarbeiterin,Bildung & Forschung
wissenschaftlicher mitarbeiter,Bildung & Forschung
wissenschaftlicher mitarbeiter,Bildung & Forschung
bankangestellter,Finanzen & Controlling
bankkaufmann,Finanzen & Controlling
bankkaufmann,Finanzen & Controlling
executive director finance & controlling,Finanzen & Controlling
privatinvestor,Finanzen & Controlling
senior advisor and investor,Finanzen & Controlling
steuerfachangestellte,Finanzen & Controlling
imbissverkäufer,Gastronomie
business unit manager prokurist,Geschäftsführung
chief change enthusiast,Geschäftsführung
founder & geschäftsführer @straling,Geschäftsführung
geschäftsführender gesellschafter,Geschäftsführung
geschäftsführender gesellschafter,Geschäftsführung
geschäftsführender gesellschafter,Geschäftsführung
geschäftsführender gesellschafter,Geschäftsführung
geschäftsführender gesellschafter,Geschäftsführung
geschäftsführender gesellschafter,Geschäftsführung
geschäftsführender gesellschafter,Geschäftsführung
geschäftsführender gesellschafter,Geschäftsführung
geschäftsführender gesellschafter,Geschäftsführung
geschäftsführender gesellschafter - nica-systems gmbh,Geschäftsführung
geschäftsführender gesellschafter - personalberater,Geschäftsführung
geschäftsführender gesellschafter senior seo consultant,Geschäftsführung
