Skills,Kategorie
Business Development,Business & Management
Change Management,Business & Management
Projektmanagement,Business & Management
Marketing,Marketing & Kommunikation
Business Planning,Business & Management
Coaching,Personalwesen & Coaching
Controlling,Business & Management
Customer Relationship Management,Marketing & Kommunikation
Strategy Planning,Business & Management
Communication,Marketing & Kommunikation
Business Analysis,Business & Management
Budget Planning,Business & Management
Human Resources,Personalwesen & Coaching
Financial Management,Business & Management
Networking,Marketing & Kommunikation
Finance,Business & Management
Content Management,Marketing & Kommunikation
Cloud-Computing,IT & Softwareentwicklung
Social Media Marketing,Marketing & Kommunikation
Web-Entwicklung,IT & Softwareentwicklung
Entrepreneurship,Business & Management
Recruiting,Personalwesen & Coaching
Sales,Business & Management
Softwareentwicklung,IT & Softwareentwicklung
Conflict Management,Marketing & Kommunikation
Design,Kreatives & Design
Public Relations,Marketing & Kommunikation
Geschäftsmodellentwicklung,Business & Management
Business Process Analysis,Business & Management
Personalmanagement,Personalwesen & Coaching
Financial Analysis,Business & Management
Personalentwicklung und Mentoring,Personalwesen & Coaching
Accounting,Business & Management
IT-Management,IT & Softwareentwicklung
Metallhandwerk,"Handwerk, Technik & Produktion"
Elektrotechnik,"Handwerk, Technik & Produktion"
Brand Management,Business & Management
Anlagenbau,"Handwerk, Technik & Produktion"
Bau- und Ausbauhandwerk,"Handwerk, Technik & Produktion"
Automatisierungstechnik,"Handwerk, Technik & Produktion"
Programmierkenntnisse,IT & Softwareentwicklung
Cybersecurity,IT & Softwareentwicklung
Budgeting,Business & Management
Employee Development,Personalwesen & Coaching
Market Research,Business & Management
Digital Ethics,Business & Management
Unternehmensführung,Business & Management
Mechanik,"Handwerk, Technik & Produktion"
Data Analysis,IT & Softwareentwicklung
Planning,Business & Management
Elektroinstallation,"Handwerk, Technik & Produktion"
Logistik,Business & Management
Compliance,Business & Management
Risk Assessment,Business & Management
Ingenieurwesen,"Handwerk, Technik & Produktion"
Fach- und Methodenkenntnisse,Sonstiges
Stakeholder Management,Business & Management
Fahrzeug- und Maschinentechnik,"Handwerk, Technik & Produktion"
Benutzeroberflächen-Design,Kreatives & Design
Information Technology,IT & Softwareentwicklung
Supply Chain Management,Business & Management
Finanzplanung,Business & Management
Konstruktion,"Handwerk, Technik & Produktion"
Cost Analysis and Control,Business & Management
Adobe Creative Cloud,Kreatives & Design
Schweißen,"Handwerk, Technik & Produktion"
Grafikprogramme,Kreatives & Design
Forschung,Lehre & Forschung
Google Analytics,IT & Softwareentwicklung
Holzhandwerk,"Handwerk, Technik & Produktion"
Prototyping,Kreatives & Design
IT-Systemadministration,IT & Softwareentwicklung
Relationship Management,Marketing & Kommunikation
Programmiersprachen,IT & Softwareentwicklung
Wissensmanagement,IT & Softwareentwicklung
DevOps,IT & Softwareentwicklung
Benchmarking,Business & Management
Budget Control,Business & Management
Risikomanagement,Business & Management
Design Thinking,Kreatives & Design
Business Continuity,Business & Management
Zielgruppenanalyse,Business & Management
Goal Planning,Business & Management
Performance Management,Business & Management
Asset Management,Business & Management
Storytelling,Business & Management
Investing,Business & Management
Qualitätssicherung,Business & Management
CAD-Systeme,Kreatives & Design
Videoproduktion,Kreatives & Design
Product Development,Business & Management
Systemverwaltung,IT & Softwareentwicklung
Competitive Analysis,Business & Management
Datenbankverwaltung,IT & Softwareentwicklung
Operations Management,Business & Management
Buchhaltung,Business & Management
Sanitär- und Versorgungstechnik,"Handwerk, Technik & Produktion"
CRM-Plattformen,IT & Softwareentwicklung
SWOT Analysis,Business & Management
Executive Management,Business & Management
Datentechnik,IT & Softwareentwicklung
Wettbewerbsanalyse,Business & Management
Google AdWords,Marketing & Kommunikation
Schreinern,"Handwerk, Technik & Produktion"
Behavioral Finance,Business & Management
Rechnungs- und Mahnwesen,Business & Management
Handwerk in der Gesundheitsbranche,"Handwerk, Technik & Produktion"
Autodesk Inventor,"Handwerk, Technik & Produktion"
Quality Assurance,Business & Management
Installationstechnik,"Handwerk, Technik & Produktion"
Suchmaschinenoptimierung (SEO),Marketing & Kommunikation
Visual Design,Kreatives & Design
Java,IT & Softwareentwicklung
Reporting,IT & Softwareentwicklung
Vendor Management,Business & Management
Market Differentiation & Positioning,Business & Management
Mediation,Personalwesen & Coaching
Marktforschung,Business & Management
Texterstellung,Kreatives & Design
Knowledge Management,IT & Softwareentwicklung
Product Management,Business & Management
Suchmaschinenmarketing (SEO & SEA / Google),Marketing & Kommunikation
Patienten- und Klinikmanagement-Software,IT & Softwareentwicklung
Sales Funnel-Management,Business & Management
"Bekleidungs-, Textil- und Lederhandwerk","Handwerk, Technik & Produktion"
Farbtechnik,"Handwerk, Technik & Produktion"
Fliesenlegen,"Handwerk, Technik & Produktion"
Glas- und Keramikhandwerk,"Handwerk, Technik & Produktion"
Klempnerarbeiten,"Handwerk, Technik & Produktion"
Malen,Kreatives & Design
Economics,Business & Management
Capacity Planning,Business & Management
"SEA, SEO & Online-Marketingstrategien",Marketing & Kommunikation
Beratung & Bildungscoaching,Personalwesen & Coaching
Digitalisierung in der Unternehmensorganisation,Business & Management
Content-Marketing & Storytelling,Marketing & Kommunikation
Performance Marketing & Conversion-Optimierung,Marketing & Kommunikation
E-Mail-Marketing & Marketing Automation,Marketing & Kommunikation
Marketinganalyse,Marketing & Kommunikation
Systems Analysis,IT & Softwareentwicklung
Webentwicklung,IT & Softwareentwicklung
Lebensmittelhandwerk,"Handwerk, Technik & Produktion"
