search_method;query_type;document_type;nDCG@10;P@5;MRR;avg_duration
bi_encoder;combination_free;fulltext;0,8772;0,9224;0,9592;0,1863673469387755
bi_encoder;combination_free;structured;0,5836;0,5673;0,6758;0,18761224489795916
bi_encoder;combination_free;structured_fulltext;0,5836;0,5673;0,6758;0,1886734693877551
bi_encoder;combination_free_synonym;fulltext;0,8459;0,8735;0,9481;0,18926530612244896
bi_encoder;combination_free_synonym;structured;0,5475;0,5061;0,5839;0,18653061224489795
bi_encoder;combination_free_synonym;structured_fulltext;0,5475;0,5061;0,5839;0,19253061224489795
bi_encoder;combination_keyword;fulltext;0,9191;0,9592;0,9694;0,18597959183673468
bi_encoder;combination_keyword;structured;0,6742;0,6694;0,8542;0,18581632653061225
bi_encoder;combination_keyword;structured_fulltext;0,6742;0,6694;0,8542;0,19118367346938775
bi_encoder;combination_keyword_synonym;fulltext;0,9088;0,9347;0,9762;0,19495918367346937
bi_encoder;combination_keyword_synonym;structured;0,6527;0,6408;0,862;0,184734693877551
bi_encoder;combination_keyword_synonym;structured_fulltext;0,6527;0,6408;0,862;0,18589795918367347
bi_encoder;single_free;fulltext;0,7503;0,7543;0,889;0,1861142857142857
bi_encoder;single_free;structured;0,4882;0,4;0,5489;0,18445714285714288
bi_encoder;single_free;structured_fulltext;0,4882;0,4;0,5489;0,1878857142857143
bi_encoder;single_free_synonym;fulltext;0,6424;0,6571;0,7788;0,18677142857142856
bi_encoder;single_free_synonym;structured;0,4247;0,32;0,448;0,18405714285714284
bi_encoder;single_free_synonym;structured_fulltext;0,4247;0,32;0,448;0,1888857142857143
bi_encoder;single_keyword;fulltext;0,8551;0,9086;0,9643;0,20502857142857145
bi_encoder;single_keyword;structured;0,6391;0,5943;0,7365;0,1836
bi_encoder;single_keyword;structured_fulltext;0,6391;0,5943;0,7365;0,18894285714285713
bi_encoder;single_keyword_synonym;fulltext;0,7957;0,8114;0,931;0,18865714285714286
